School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Attleboro - Peter Thacher Elementary School;00160050;MATH;           4;13;           0;0;           4;13;           5;16;          22;71;          31;97;     476.8;;;2021;ALL;students with disabilities
Attleboro - Robert J. Coelho Middle School;00160305;ELA;          10;12;           0;0;          10;12;          37;43;          39;45;          86;98;     473.3;          31.8;          85;2021;ALL;students with disabilities
Attleboro - Robert J. Coelho Middle School;00160305;MATH;           7;8;           0;0;           7;8;          37;43;          42;49;          86;98;     472.4;          34.8;          85;2021;ALL;students with disabilities
Attleboro - Robert J. Coelho Middle School;00160305;SCI;           8;18;           1;2;           7;16;          22;50;          14;32;          44;98;     478.4;;;2021;ALL;students with disabilities
Attleboro - Thomas Willett Elementary School;00160035;ELA;           6;20;           0;0;           6;20;          14;47;          10;33;          30;97;     479.9;;;2021;ALL;students with disabilities
Attleboro - Thomas Willett Elementary School;00160035;MATH;           3;10;           1;3;           2;7;          14;47;          13;43;          30;97;     472.7;;;2021;ALL;students with disabilities
Attleboro - Wamsutta Middle School;00160320;ELA;           7;9;           0;0;           7;9;          32;42;          37;49;          76;100;     471.6;          32.1;          67;2021;ALL;students with disabilities
Attleboro - Wamsutta Middle School;00160320;MATH;           4;5;           0;0;           4;5;          36;47;          36;47;          76;100;     471.1;          36.7;          67;2021;ALL;students with disabilities
Attleboro - Wamsutta Middle School;00160320;SCI;           5;14;           0;0;           5;14;          10;29;          20;57;          35;100;     470.3;;;2021;ALL;students with disabilities
Auburn - Auburn Middle;00170305;ELA;           6;10;           0;0;           6;10;          22;38;          30;52;          58;91;     472.3;          27.4;          52;2021;ALL;students with disabilities
Auburn - Auburn Middle;00170305;MATH;           3;5;           0;0;           3;5;          24;41;          32;54;          59;90;     470.1;          29.4;          53;2021;ALL;students with disabilities
Auburn - Auburn Middle;00170305;SCI;           2;13;           0;0;           2;13;           5;33;           8;53;          15;88;     475.0;;;2021;ALL;students with disabilities
Auburn - Swanson Road Intermediate School;00170030;ELA;           6;9;           0;0;           6;9;          29;42;          34;49;          69;96;     474.2;;          19;2021;ALL;students with disabilities
Auburn - Swanson Road Intermediate School;00170030;MATH;           5;7;           0;0;           5;7;          21;31;          42;62;          68;96;     468.8;;          19;2021;ALL;students with disabilities
Auburn - Swanson Road Intermediate School;00170030;SCI;           8;38;           0;0;           8;38;           5;24;           8;38;          21;95;     483.9;;;2021;ALL;students with disabilities
Avon - Avon Middle High School;00180510;ELA;           4;19;           0;0;           4;19;          10;48;           7;33;          21;100;     480.4;          37.5;          20;2021;ALL;students with disabilities
Avon - Avon Middle High School;00180510;MATH;           2;10;           0;0;           2;10;          12;57;           7;33;          21;100;     475.9;;          19;2021;ALL;students with disabilities
