School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Barnstable - Barnstable High;00200505;MATH;           4;27;           0;0;           4;27;           6;40;           5;33;          15;90;     477.9;;          10;7;2022;ALL;multi-race
Barnstable - Barnstable High;00200505;SCI;           5;31;           0;0;           5;31;          10;63;           1;6;          16;94;     490.6;;;34;2022;ALL;multi-race
Barnstable - Barnstable Intermediate School;00200315;ELA;          14;34;           0;0;          14;34;          20;49;           7;17;          41;100;     488.5;          45.1;          37;20;2022;ALL;multi-race
Barnstable - Barnstable Intermediate School;00200315;MATH;           6;15;           1;3;           5;13;          23;59;          10;26;          39;95;     483.7;          49.5;          35;16;2022;ALL;multi-race
Barnstable - Barnstable United Elementary School;00200050;ELA;          13;25;           0;0;          13;25;          34;64;           6;11;          53;100;     489.0;          35.3;          51;21;2022;ALL;multi-race
Barnstable - Barnstable United Elementary School;00200050;MATH;          12;23;           1;2;          11;21;          25;48;          15;29;          52;100;     482.3;          33.5;          49;14;2022;ALL;multi-race
Barnstable - Barnstable United Elementary School;00200050;SCI;           5;26;           1;5;           4;21;          10;53;           4;21;          19;100;     486.4;;;20;2022;ALL;multi-race
Bedford - John Glenn Middle;00230305;ELA;          26;84;          13;42;          13;42;           4;13;           1;3;          31;100;     522.1;          68.7;          31;98;2022;ALL;multi-race
Bedford - John Glenn Middle;00230305;MATH;          26;84;           9;29;          17;55;           5;16;           0;0;          31;100;     522.3;          57.2;          31;96;2022;ALL;multi-race
Bedford - Lt Job Lane School;00230012;ELA;          39;78;          12;24;          27;54;          10;20;           1;2;          50;100;     513.0;          59.7;          34;87;2022;ALL;multi-race
Bedford - Lt Job Lane School;00230012;MATH;          39;78;           8;16;          31;62;           9;18;           2;4;          50;100;     515.5;          55.6;          34;89;2022;ALL;multi-race
Bedford - Lt Job Lane School;00230012;SCI;          12;92;           3;23;           9;69;           1;8;           0;0;          13;100;     519.8;;;95;2022;ALL;multi-race
Belchertown - Chestnut Hill Community School;00240006;ELA;          11;65;           0;0;          11;65;           5;29;           1;6;          17;100;     505.3;;          17;69;2022;ALL;multi-race
Belchertown - Chestnut Hill Community School;00240006;MATH;           7;41;           2;12;           5;29;          10;59;           0;0;          17;100;     503.2;;          17;65;2022;ALL;multi-race
Belchertown - Jabish Middle School;00240025;ELA;           4;31;           0;0;           4;31;           8;62;           1;8;          13;93;     487.2;;          13;17;2022;ALL;multi-race
Belchertown - Jabish Middle School;00240025;MATH;           4;33;           0;0;           4;33;           7;58;           1;8;          12;86;     491.7;;          12;35;2022;ALL;multi-race
Belchertown - Swift River Elementary;00240018;ELA;           3;30;           0;0;           3;30;           4;40;           3;30;          10;100;     489.0;;;21;2022;ALL;multi-race
Belchertown - Swift River Elementary;00240018;MATH;           2;20;           1;10;           1;10;           4;40;           4;40;          10;100;     483.3;;;15;2022;ALL;multi-race
Bellingham - Bellingham Memorial School;00250315;ELA;           4;33;           0;0;           4;33;           6;50;           2;17;          12;100;     491.3;;          12;28;2022;ALL;multi-race
Bellingham - Bellingham Memorial School;00250315;MATH;           5;42;           1;8;           4;33;           6;50;           1;8;          12;100;     496.5;;          12;49;2022;ALL;multi-race
Belmont - Daniel Butler;00260015;ELA;          16;70;           2;9;          14;61;           7;30;           0;0;          23;100;     508.6;;          14;77;2022;ALL;multi-race
Belmont - Daniel Butler;00260015;MATH;          18;78;           4;17;          14;61;           4;17;           1;4;          23;100;     514.4;;          14;87;2022;ALL;multi-race
Belmont - Mary Lee Burbank;00260010;ELA;           9;82;           3;27;           6;55;           2;18;           0;0;          11;100;     515.7;;           7;93;2022;ALL;multi-race
Belmont - Mary Lee Burbank;00260010;MATH;           8;73;           5;45;           3;27;           3;27;           0;0;          11;100;     523.9;;           7;98;2022;ALL;multi-race
Belmont - Roger E Wellington;00260035;ELA;           9;56;           2;13;           7;44;           6;38;           1;6;          16;100;     507.1;;           8;73;2022;ALL;multi-race
Belmont - Roger E Wellington;00260035;MATH;          12;75;           4;25;           8;50;           4;25;           0;0;          16;100;     512.6;;           8;84;2022;ALL;multi-race
Belmont - Winn Brook;00260005;ELA;          15;100;           8;53;           7;47;           0;0;           0;0;          15;100;     533.1;;           7;99;2022;ALL;multi-race
Belmont - Winn Brook;00260005;MATH;          15;100;          11;73;           4;27;           0;0;           0;0;          15;100;     543.3;;           7;99;2022;ALL;multi-race
Belmont - Winthrop L Chenery Middle;00260305;ELA;         101;85;          26;22;          75;63;          16;13;           2;2;         119;100;     516.4;          59.6;         115;94;2022;ALL;multi-race
Belmont - Winthrop L Chenery Middle;00260305;MATH;          94;79;          37;31;          57;48;          24;20;           1;1;         119;100;     519.9;          66.8;         117;95;2022;ALL;multi-race
Belmont - Winthrop L Chenery Middle;00260305;SCI;          49;82;          26;43;          23;38;           9;15;           2;3;          60;97;     523.2;;;99;2022;ALL;multi-race
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;ELA;          15;75;           3;15;          12;60;           4;20;           1;5;          20;95;     510.1;;          12;81;2022;ALL;multi-race
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;MATH;          12;60;           4;20;           8;40;           7;35;           1;5;          20;95;     505.2;;          12;69;2022;ALL;multi-race
Berkley - Berkley Middle School;00270305;ELA;           6;33;           2;11;           4;22;          10;56;           2;11;          18;100;     494.1;;          18;38;2022;ALL;multi-race
Berkley - Berkley Middle School;00270305;MATH;           5;28;           2;11;           3;17;          10;56;           3;17;          18;100;     492.3;;          18;37;2022;ALL;multi-race
Berkshire Hills - Muddy Brook Regional Elementary School;06180035;ELA;           9;75;           2;17;           7;58;           3;25;           0;0;          12;100;     513.6;;           4;89;2022;ALL;multi-race
Berkshire Hills - Muddy Brook Regional Elementary School;06180035;MATH;          10;83;           2;17;           8;67;           2;17;           0;0;          12;100;     513.5;;           4;86;2022;ALL;multi-race
Berkshire Hills - W.E.B. Du Bois Regional Middle School;06180310;ELA;           3;18;           0;0;           3;18;          10;59;           4;24;          17;85;     483.4;;          14;10;2022;ALL;multi-race
Berkshire Hills - W.E.B. Du Bois Regional Middle School;06180310;MATH;           3;18;           0;0;           3;18;           9;53;           5;29;          17;85;     481.8;;          15;13;2022;ALL;multi-race
Berlin-Boylston - Tahanto Regional High;06200505;ELA;           6;60;           1;10;           5;50;           4;40;           0;0;          10;100;     508.0;;          10;76;2022;ALL;multi-race
