school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,          71,25,           8,3,          63,22,         139,48,          77,27,         287,99,     485.9,          41.4,         256,28,2022,ALL,male
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,          91,32,           5,2,          86,30,         132,46,          64,22,         287,99,     489.9,          45.5,         256,36,2022,ALL,male
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,          31,25,           4,3,          27,22,          54,43,          40,32,         125,99,     484.8,,,22,2022,ALL,male
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          27,36,           3,4,          24,32,          41,54,           8,11,          76,100,     493.5,          28.4,          34,56,2022,ALL,male
Attleboro - Hill-Roberts Elementary School,00160045,MATH,          35,47,           2,3,          33,44,          32,43,           8,11,          75,100,     496.2,          49.4,          34,55,2022,ALL,male
Attleboro - Hyman Fine Elementary School,00160040,ELA,          28,33,           5,6,          23,27,          41,49,          15,18,          84,100,     493.4,          46.2,          39,55,2022,ALL,male
Attleboro - Hyman Fine Elementary School,00160040,MATH,          33,39,           3,4,          30,36,          41,49,          10,12,          84,100,     495.9,          58.9,          39,54,2022,ALL,male
Attleboro - Peter Thacher Elementary School,00160050,ELA,          26,30,           3,3,          23,27,          43,50,          17,20,          86,100,     493.4,          44.0,          38,55,2022,ALL,male
Attleboro - Peter Thacher Elementary School,00160050,MATH,          34,40,           3,4,          31,36,          30,35,          21,25,          85,99,     494.6,          56.8,          37,51,2022,ALL,male
Attleboro - Robert J. Coelho Middle School,00160305,ELA,          95,29,           6,2,          89,27,         180,55,          51,16,         326,100,     489.6,          45.9,         315,40,2022,ALL,male
Attleboro - Robert J. Coelho Middle School,00160305,MATH,         153,47,          19,6,         134,41,         149,46,          21,7,         323,99,     498.2,          53.0,         312,61,2022,ALL,male
Attleboro - Robert J. Coelho Middle School,00160305,SCI,          92,56,          17,10,          75,45,          63,38,          10,6,         165,97,     502.7,,,70,2022,ALL,male
Attleboro - Thomas Willett Elementary School,00160035,ELA,          23,30,           4,5,          19,25,          43,56,          11,14,          77,100,     491.4,          42.2,          34,47,2022,ALL,male
