school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Arlington - Ottoson Middle,00100410,ELA,         485,79,         155,25,         330,54,         110,18,          17,3,         612,     516.1,          56.2,         592,92,2019,ALL,white
Arlington - Ottoson Middle,00100410,MATH,         476,78,         150,25,         326,53,         120,20,          15,2,         611,     514.7,          59.6,         588,94,2019,ALL,white
Arlington - Ottoson Middle,00100410,SCI,         234,80,         100,34,         134,46,          51,17,           9,3,         294,     519.3,,,98,2019,ALL,white
Arlington - Peirce,00100045,ELA,          66,67,           8,8,          58,59,          32,32,           1,1,          99,     507.7,          49.6,          65,63,2019,ALL,white
Arlington - Peirce,00100045,MATH,          60,61,           5,5,          55,56,          37,37,           2,2,          99,     505.1,          54.1,          65,63,2019,ALL,white
Arlington - Peirce,00100045,SCI,          23,56,           9,22,          14,34,          17,41,           1,2,          41,     508.2,,,71,2019,ALL,white
Arlington - Thompson,00100050,ELA,         118,78,          33,22,          85,56,          32,21,           2,1,         152,     515.6,          63.0,          90,91,2019,ALL,white
Arlington - Thompson,00100050,MATH,         114,75,          16,11,          98,64,          33,22,           5,3,         152,     510.0,          55.4,          90,82,2019,ALL,white
Arlington - Thompson,00100050,SCI,          35,85,          10,24,          25,61,           3,7,           3,7,          41,     514.5,,,92,2019,ALL,white
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,         121,56,          10,5,         111,51,          92,43,           3,1,         216,     503.4,          45.7,         150,43,2019,ALL,white
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,         107,49,          11,5,          96,44,         102,47,           8,4,         217,     499.0,          34.2,         150,35,2019,ALL,white
Ashburnham-Westminster - Briggs Elementary,06100025,SCI,          30,38,           2,3,          28,36,          44,56,           4,5,          78,     496.2,,,19,2019,ALL,white
Ashburnham-Westminster - Overlook Middle School,06100305,ELA,         302,58,          52,10,         250,48,         186,36,          33,6,         521,     504.0,          54.1,         508,45,2019,ALL,white
Ashburnham-Westminster - Overlook Middle School,06100305,MATH,         298,57,          36,7,         262,50,         200,38,          23,4,         521,     502.5,          53.2,         508,51,2019,ALL,white
Ashburnham-Westminster - Overlook Middle School,06100305,SCI,         112,61,          19,10,          93,50,          66,36,           7,4,         185,     505.6,,,60,2019,ALL,white
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,         113,44,           6,2,         107,41,         126,49,          19,7,         258,     498.1,          46.2,         154,21,2019,ALL,white
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,         123,48,          11,4,         112,43,         120,47,          15,6,         258,     498.9,          58.3,         154,35,2019,ALL,white
Ashburnham-Westminster - Westminster Elementary,06100005,SCI,          37,44,           4,5,          33,39,          46,54,           2,2,          85,     499.9,,,32,2019,ALL,white
Ashland - Ashland Middle,00140405,ELA,         311,78,         103,26,         208,52,          76,19,          14,3,         401,     516.1,          69.1,         395,92,2019,ALL,white
Ashland - Ashland Middle,00140405,MATH,         310,77,          93,23,         217,54,          77,19,          14,3,         401,     514.3,          65.7,         395,93,2019,ALL,white
Ashland - Ashland Middle,00140405,SCI,          84,69,          28,23,          56,46,          33,27,           5,4,         122,     512.0,,,86,2019,ALL,white
Ashland - David Mindess,00140015,ELA,         250,60,          32,8,         218,52,         155,37,          14,3,         419,     504.6,          47.8,         290,49,2019,ALL,white
Ashland - David Mindess,00140015,MATH,         229,55,          30,7,         199,47,         164,39,          26,6,         419,     502.4,          57.6,         289,51,2019,ALL,white
Ashland - David Mindess,00140015,SCI,          87,59,          11,7,          76,52,          51,35,           9,6,         147,     504.2,,,52,2019,ALL,white
