school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Attleboro - Wamsutta Middle School,00160320,MATH,          14,16,           0,0,          14,16,          50,58,          22,26,          86,99,     481.3,          28.5,          79,2021,ALL,hispanic/latino
Attleboro - Wamsutta Middle School,00160320,SCI,           5,13,           0,0,           5,13,          23,61,          10,26,          38,98,     482.6,,,2021,ALL,hispanic/latino
Auburn - Auburn Middle,00170305,ELA,          21,32,           6,9,          15,23,          30,45,          15,23,          66,99,     491.2,          26.3,          64,2021,ALL,hispanic/latino
Auburn - Auburn Middle,00170305,MATH,          16,25,           0,0,          16,25,          39,61,           9,14,          64,96,     487.8,          32.1,          62,2021,ALL,hispanic/latino
Auburn - Auburn Middle,00170305,SCI,           8,35,           4,17,           4,17,          12,52,           3,13,          23,100,     495.1,,,2021,ALL,hispanic/latino
Auburn - Swanson Road Intermediate School,00170030,ELA,          26,49,           1,2,          25,47,          21,40,           6,11,          53,100,     495.9,          26.7,          21,2021,ALL,hispanic/latino
Auburn - Swanson Road Intermediate School,00170030,MATH,          12,23,           0,0,          12,23,          29,55,          12,23,          53,100,     484.7,          31.3,          21,2021,ALL,hispanic/latino
Auburn - Swanson Road Intermediate School,00170030,SCI,           8,36,           0,0,           8,36,           9,41,           5,23,          22,100,     491.0,,,2021,ALL,hispanic/latino
Avon - Avon Middle High School,00180510,ELA,           0,0,           0,0,           0,0,           8,73,           3,27,          11,100,     479.2,,          11,2021,ALL,hispanic/latino
Avon - Avon Middle High School,00180510,MATH,           0,0,           0,0,           0,0,           8,73,           3,27,          11,100,     474.7,,          10,2021,ALL,hispanic/latino
Avon - Ralph D Butler,00180010,ELA,          11,41,           0,0,          11,41,          11,41,           5,19,          27,100,     491.4,,          12,2021,ALL,hispanic/latino
Avon - Ralph D Butler,00180010,MATH,           2,7,           0,0,           2,7,          12,44,          13,48,          27,100,     472.0,,          12,2021,ALL,hispanic/latino
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,ELA,          15,28,           1,2,          14,26,          29,54,          10,19,          54,95,     489.4,          31.1,          47,2021,ALL,hispanic/latino
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,MATH,           9,17,           0,0,           9,17,          29,54,          16,30,          54,95,     482.4,          25.5,          47,2021,ALL,hispanic/latino
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,SCI,           5,26,           0,0,           5,26,          10,53,           4,21,          19,100,     489.0,,,2021,ALL,hispanic/latino
Ayer Shirley School District - Lura A. White Elementary School,06160001,ELA,           4,29,           0,0,           4,29,           7,50,           3,21,          14,100,     486.5,,           6,2021,ALL,hispanic/latino
Ayer Shirley School District - Lura A. White Elementary School,06160001,MATH,           2,14,           0,0,           2,14,           9,64,           3,21,          14,100,     481.1,,           6,2021,ALL,hispanic/latino
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,           7,28,           0,0,           7,28,          12,48,           6,24,          25,100,     489.3,,           9,2021,ALL,hispanic/latino
Ayer Shirley School District - Page Hilltop Elementary School,06160002,MATH,           4,16,           0,0,           4,16,          12,48,           9,36,          25,100,     476.3,,           9,2021,ALL,hispanic/latino
Barnstable - Barnstable Community Innovation School,00200012,ELA,          10,43,           1,4,           9,39,          11,48,           2,9,          23,100,     496.0,,,2021,ALL,hispanic/latino
Barnstable - Barnstable Community Innovation School,00200012,MATH,           8,35,           1,4,           7,30,          11,48,           4,17,          23,100,     489.7,,,2021,ALL,hispanic/latino
Barnstable - Barnstable High,00200505,ELA,          12,23,           1,2,          11,21,          18,34,          23,43,          53,88,     478.3,          38.7,          41,2021,ALL,hispanic/latino
Barnstable - Barnstable High,00200505,MATH,           3,5,           0,0,           3,5,          34,62,          18,33,          55,91,     475.7,          21.5,          43,2021,ALL,hispanic/latino
Barnstable - Barnstable High,00200505,SCI,           9,20,           0,0,           9,20,          17,39,          18,41,          44,86,     480.1,,,2021,ALL,hispanic/latino
Barnstable - Barnstable Intermediate School,00200315,ELA,          34,27,           5,4,          29,23,          46,37,          46,37,         126,92,     482.2,          37.5,          98,2021,ALL,hispanic/latino
Barnstable - Barnstable Intermediate School,00200315,MATH,          13,10,           0,0,          13,10,          72,57,          42,33,         127,92,     478.0,          25.8,         102,2021,ALL,hispanic/latino
Barnstable - Barnstable United Elementary School,00200050,ELA,          37,26,           1,1,          36,26,          65,46,          38,27,         140,97,     484.1,          27.2,          61,2021,ALL,hispanic/latino
Barnstable - Barnstable United Elementary School,00200050,MATH,          15,11,           0,0,          15,11,          78,56,          47,34,         140,97,     475.7,          22.5,          62,2021,ALL,hispanic/latino
Barnstable - Barnstable United Elementary School,00200050,SCI,          19,26,           1,1,          18,25,          29,40,          25,34,          73,96,     481.4,,,2021,ALL,hispanic/latino
Barnstable - Hyannis West Elementary,00200025,ELA,           6,25,           2,8,           4,17,          16,67,           2,8,          24,100,     490.1,,,2021,ALL,hispanic/latino
Barnstable - Hyannis West Elementary,00200025,MATH,           5,21,           0,0,           5,21,          10,42,           9,38,          24,100,     478.9,,,2021,ALL,hispanic/latino
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,          21,18,           0,0,          21,18,          50,42,          48,40,         119,98,     476.0,          22.8,         109,2021,ALL,hispanic/latino
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,           6,5,           0,0,           6,5,          65,55,          47,40,         118,97,     472.3,          15.4,         109,2021,ALL,hispanic/latino
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,SCI,           1,2,           0,0,           1,2,          24,59,          16,39,          41,98,     475.3,,,2021,ALL,hispanic/latino
Bedford - John Glenn Middle,00230305,ELA,          13,50,           2,8,          11,42,           9,35,           4,15,          26,96,     499.2,          28.3,          23,2021,ALL,hispanic/latino
Bedford - John Glenn Middle,00230305,MATH,          13,48,           1,4,          12,44,          13,48,           1,4,          27,100,     496.5,          31.3,          24,2021,ALL,hispanic/latino
