school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Boston - Conley Elementary School,00350122,ELA,          15,33,           3,7,          12,27,          22,49,           8,18,          45,     494.2,          49.9,          25,53,2019,ALL,afr.american/black
Boston - Conley Elementary School,00350122,MATH,           9,20,           1,2,           8,18,          22,49,          14,31,          45,     487.5,          48.4,          25,41,2019,ALL,afr.american/black
Boston - Conley Elementary School,00350122,SCI,           0,0,           0,0,           0,0,          12,60,           8,40,          20,     477.8,,,19,2019,ALL,afr.american/black
Boston - Curley K-8 School,00350020,ELA,          24,20,           3,2,          21,17,          43,36,          54,45,         121,     481.5,          45.5,          86,9,2019,ALL,afr.american/black
Boston - Curley K-8 School,00350020,MATH,          19,16,           1,1,          18,15,          45,37,          57,47,         121,     476.6,          43.3,          84,7,2019,ALL,afr.american/black
Boston - Curley K-8 School,00350020,SCI,           6,15,           0,0,           6,15,          14,35,          20,50,          40,     474.6,,,10,2019,ALL,afr.american/black
Boston - Dearborn 6-12 STEM Academy,00350074,ELA,          18,17,           2,2,          16,15,          52,48,          39,36,         109,     478.6,          49.2,          99,5,2019,ALL,afr.american/black
Boston - Dearborn 6-12 STEM Academy,00350074,MATH,          13,12,           0,0,          13,12,          55,50,          41,38,         109,     476.5,          39.6,          99,7,2019,ALL,afr.american/black
Boston - Dearborn 6-12 STEM Academy,00350074,SCI,           2,6,           0,0,           2,6,          14,40,          19,54,          35,     467.8,,,3,2019,ALL,afr.american/black
Boston - Dever Elementary School,00350268,ELA,          10,24,           1,2,           9,22,          24,59,           7,17,          41,     488.8,          36.6,          28,30,2019,ALL,afr.american/black
Boston - Dever Elementary School,00350268,MATH,          12,29,           0,0,          12,29,          20,49,           9,22,          41,     488.0,          34.5,          26,44,2019,ALL,afr.american/black
Boston - Dever Elementary School,00350268,SCI,           3,20,           0,0,           3,20,           7,47,           5,33,          15,     480.3,,,26,2019,ALL,afr.american/black
