school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Arlington - Gibbs School,100305,MATH,         310,70,          34,8,         276,63,         116,26,          14,3,         440,100,507.5,60.4,         410,88.0,2022
Arlington - Hardy,100030,ELA,         132,67,           8,4,         124,63,          54,27,          11,6,         197,97,503.6,50.8,         122,80.0,2022
Arlington - Hardy,100030,MATH,         132,67,          27,14,         105,53,          56,28,          10,5,         198,98,507.8,55.8,         122,89.0,2022
Arlington - Hardy,100030,SCI,          54,76,          17,24,          37,52,          15,21,           2,3,          71,97,516.9,,,98.0,2022
Arlington - John A Bishop,100005,ELA,         142,74,          30,16,         112,58,          45,23,           5,3,         192,100,510.6,62.7,         108,95.0,2022
Arlington - John A Bishop,100005,MATH,         142,74,          31,16,         111,58,          44,23,           6,3,         192,100,511.9,57.3,         108,94.0,2022
Arlington - John A Bishop,100005,SCI,          47,75,          14,22,          33,52,          13,21,           3,5,          63,100,515.1,,,96.0,2022
Arlington - M Norcross Stratton,100055,ELA,         144,69,          21,10,         123,59,          55,26,          10,5,         209,99,508.0,58.4,         134,91.0,2022
Arlington - M Norcross Stratton,100055,MATH,         146,72,          42,21,         104,51,          49,24,           8,4,         203,96,513.3,67.1,         133,96.0,2022
Arlington - M Norcross Stratton,100055,SCI,          44,69,          13,20,          31,48,          14,22,           6,9,          64,98,511.3,,,91.0,2022
Arlington - Ottoson Middle,100410,ELA,         664,75,         160,18,         504,57,         173,20,          48,5,         885,99,511.4,61.7,         815,96.0,2022
Arlington - Ottoson Middle,100410,MATH,         645,73,         207,23,         438,50,         203,23,          36,4,         884,99,513.3,67.4,         813,96.0,2022
Arlington - Ottoson Middle,100410,SCI,         324,77,          95,23,         229,54,          81,19,          16,4,         421,98,513.1,,,94.0,2022
Arlington - Peirce,100045,ELA,          90,58,           6,4,          84,54,          55,35,          10,6,         155,99,501.1,50.1,          90,73.0,2022
Arlington - Peirce,100045,MATH,          81,52,          16,10,          65,42,          58,37,          16,10,         155,99,501.5,54.1,          91,74.0,2022
Arlington - Peirce,100045,SCI,          29,78,           6,16,          23,62,           8,22,           0,0,          37,100,510.3,,,89.0,2022
Arlington - Thompson,100050,ELA,         142,61,          35,15,         107,46,          82,35,           8,3,         232,98,507.2,56.5,         133,89.0,2022
Arlington - Thompson,100050,MATH,         153,66,          42,18,         111,48,          68,29,          11,5,         232,98,508.8,57.4,         133,90.0,2022
Arlington - Thompson,100050,SCI,          48,54,          13,15,          35,39,          34,38,           7,8,          89,96,503.9,,,77.0,2022
Ashburnham-Westminster - Briggs Elementary,6100025,ELA,         110,45,           6,2,         104,43,         117,48,          17,7,         244,100,496.6,45.6,         153,57.0,2022
Ashburnham-Westminster - Briggs Elementary,6100025,MATH,         116,48,          10,4,         106,43,         103,42,          25,10,         244,100,497.4,45.4,         153,61.0,2022
Ashburnham-Westminster - Briggs Elementary,6100025,SCI,          36,44,           5,6,          31,38,          38,47,           7,9,          81,99,496.1,,,51.0,2022
