school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Billerica - Marshall Middle School,00310305,MATH,           2,20,           0,0,           2,20,           2,20,           6,60,          10,100,     475.8,,           7,,2022,ALL,EL
Boston - Adams Elementary School,00350302,ELA,           2,4,           0,0,           2,4,          20,43,          24,52,          46,100,     474.2,          49.3,          26,58,2022,ALL,EL
Boston - Adams Elementary School,00350302,MATH,           1,2,           0,0,           1,2,          21,46,          24,52,          46,100,     473.7,          42.2,          26,51,2022,ALL,EL
Boston - Bates Elementary School,00350278,ELA,           0,0,           0,0,           0,0,          18,60,          12,40,          30,100,     474.8,,          14,61,2022,ALL,EL
Boston - Bates Elementary School,00350278,MATH,           5,17,           0,0,           5,17,          18,60,           7,23,          30,100,     481.5,,          14,75,2022,ALL,EL
Boston - Blackstone Elementary School,00350390,ELA,           4,5,           0,0,           4,5,          34,43,          42,53,          80,89,     470.8,          45.7,          24,42,2022,ALL,EL
Boston - Blackstone Elementary School,00350390,MATH,           3,4,           0,0,           3,4,          23,28,          56,68,          82,85,     461.2,          50.4,          24,4,2022,ALL,EL
Boston - Blackstone Elementary School,00350390,SCI,           0,0,           0,0,           0,0,           9,31,          20,69,          29,97,     461.9,,,23,2022,ALL,EL
Boston - Boston Community Leadership Academy,00350558,ELA,           1,3,           0,0,           1,3,           9,23,          29,74,          39,95,     457.7,          41.4,          23,6,2022,ALL,EL
Boston - Boston Community Leadership Academy,00350558,MATH,           0,0,           0,0,           0,0,          14,39,          22,61,          36,81,     466.5,,          19,21,2022,ALL,EL
Boston - Boston Community Leadership Academy,00350558,SCI,           0,0,           0,0,           0,0,           0,0,          17,100,          17,74,     454.5,,,2,2022,ALL,EL
Boston - Boston Teachers Union K-8 Pilot,00350012,ELA,           0,0,           0,0,           0,0,          12,55,          10,45,          22,100,     468.6,,          11,34,2022,ALL,EL
Boston - Boston Teachers Union K-8 Pilot,00350012,MATH,           0,0,           0,0,           0,0,          10,50,          10,50,          20,92,     469.7,,          11,34,2022,ALL,EL
Boston - Bradley Elementary School,00350215,ELA,           6,19,           1,3,           5,16,          16,52,           9,29,          31,100,     480.3,          41.9,          20,81,2022,ALL,EL
Boston - Bradley Elementary School,00350215,MATH,           7,23,           0,0,           7,23,          16,52,           8,26,          31,100,     485.2,          40.6,          20,83,2022,ALL,EL
Boston - Channing Elementary School,00350360,ELA,           2,17,           0,0,           2,17,           3,25,           7,58,          12,100,     473.2,,           5,52,2022,ALL,EL
Boston - Channing Elementary School,00350360,MATH,           1,8,           0,0,           1,8,           3,25,           8,67,          12,100,     464.2,,           5,12,2022,ALL,EL
Boston - Charlestown High School,00350515,ELA,           0,0,           0,0,           0,0,           5,19,          22,81,          27,93,     456.1,          30.9,          25,3,2022,ALL,EL
Boston - Charlestown High School,00350515,MATH,           0,0,           0,0,           0,0,          10,36,          18,64,          28,98,     463.4,          35.2,          24,9,2022,ALL,EL
Boston - Charlestown High School,00350515,SCI,           0,0,           0,0,           0,0,           2,9,          20,91,          22,94,     455.1,,,4,2022,ALL,EL
Boston - Chittick Elementary School,00350154,ELA,           3,14,           0,0,           3,14,           6,27,          13,59,          22,84,     476.6,,           4,68,2022,ALL,EL
Boston - Chittick Elementary School,00350154,MATH,           3,14,           0,0,           3,14,          10,45,           9,41,          22,100,     479.5,,           6,70,2022,ALL,EL
Boston - Clap Elementary School,00350298,ELA,           0,0,           0,0,           0,0,           5,42,           7,58,          12,93,     468.0,,           4,32,2022,ALL,EL
Boston - Clap Elementary School,00350298,MATH,           1,8,           0,0,           1,8,           4,33,           7,58,          12,93,     470.3,,           4,37,2022,ALL,EL
